lr,lora_r,lora_alpha,epochs,weight_decay,adam_beta1,adam_beta2,best_val_acc,best_val_loss,best_iteration,last_val_acc,last_val_loss,last_iteration,metrics_dir,status
0.0003,8,16.0,3,0.0,0.9,0.999,0.9025,0.2862,4208,0.9014,0.2965,6312,distilbert_autogrid/results/lr_3p0000e-04_r8_a16_ep3_wd_0p0000e00,ok
0.0003,8,32.0,3,0.1,0.9,0.999,0.9025,0.2522,2104,0.9025,0.2925,6312,distilbert_autogrid/results/lr_3p0000e-04_r8_a32_ep3_wd_1p0000e-01,ok
0.0003,8,8.0,3,0.0,0.9,0.999,0.9025,0.2652,2104,0.9014,0.2734,6312,distilbert_autogrid/results/lr_3p0000e-04_r8_a8_ep3_wd_0p0000e00,ok
3e-05,64,128.0,3,0.1,0.9,0.999,0.9025,0.2604,6312,0.9025,0.2604,6312,distilbert_autogrid/results/lr_3p0000e-05_r64_a128_ep3_wd_1p0000e-01,ok
3e-05,64,64.0,3,0.0,0.9,0.999,0.9025,0.2614,6312,0.9025,0.2614,6312,distilbert_autogrid/results/lr_3p0000e-05_r64_a64_ep3_wd_0p0000e00,ok
0.0003,128,128.0,3,0.0,0.9,0.999,0.9014,0.2807,4208,0.9002,0.3003,6312,distilbert_autogrid/results/lr_3p0000e-04_r128_a128_ep3_wd_0p0000e00,ok
0.0003,128,32.0,3,0.01,0.9,0.999,0.9014,0.2832,6312,0.9014,0.2832,6312,distilbert_autogrid/results/lr_3p0000e-04_r128_a32_ep3_wd_1p0000e-02,ok
0.0003,128,64.0,3,0.0,0.9,0.999,0.9014,0.288,4208,0.9002,0.3091,6312,distilbert_autogrid/results/lr_3p0000e-04_r128_a64_ep3_wd_0p0000e00,ok
0.0003,128,8.0,3,0.1,0.9,0.999,0.9014,0.2652,6312,0.9014,0.2652,6312,distilbert_autogrid/results/lr_3p0000e-04_r128_a8_ep3_wd_1p0000e-01,ok
0.0003,16,64.0,3,0.0,0.9,0.999,0.9014,0.2785,4208,0.9014,0.314,6312,distilbert_autogrid/results/lr_3p0000e-04_r16_a64_ep3_wd_0p0000e00,ok
0.0003,32,16.0,3,0.1,0.9,0.999,0.9014,0.2676,4208,0.8991,0.285,6312,distilbert_autogrid/results/lr_3p0000e-04_r32_a16_ep3_wd_1p0000e-01,ok
0.0003,64,128.0,3,0.01,0.9,0.999,0.9014,0.2686,2104,0.8991,0.3261,6312,distilbert_autogrid/results/lr_3p0000e-04_r64_a128_ep3_wd_1p0000e-02,ok
0.0003,64,32.0,3,0.0,0.9,0.999,0.9014,0.2971,6312,0.9014,0.2971,6312,distilbert_autogrid/results/lr_3p0000e-04_r64_a32_ep3_wd_0p0000e00,ok
0.0003,64,64.0,3,0.0,0.9,0.999,0.9014,0.2652,2104,0.8968,0.2971,6312,distilbert_autogrid/results/lr_3p0000e-04_r64_a64_ep3_wd_0p0000e00,ok
0.0003,8,8.0,3,0.1,0.9,0.999,0.9014,0.2701,2104,0.9002,0.2795,6312,distilbert_autogrid/results/lr_3p0000e-04_r8_a8_ep3_wd_1p0000e-01,ok
3e-05,128,128.0,3,0.01,0.9,0.999,0.9014,0.2619,6312,0.9014,0.2619,6312,distilbert_autogrid/results/lr_3p0000e-05_r128_a128_ep3_wd_1p0000e-02,ok
0.0003,16,64.0,3,0.1,0.9,0.999,0.9002,0.2856,4208,0.9002,0.3133,6312,distilbert_autogrid/results/lr_3p0000e-04_r16_a64_ep3_wd_1p0000e-01,ok
0.0003,64,128.0,3,0.0,0.9,0.999,0.9002,0.3116,6312,0.9002,0.3116,6312,distilbert_autogrid/results/lr_3p0000e-04_r64_a128_ep3_wd_0p0000e00,ok
0.0003,64,16.0,3,0.01,0.9,0.999,0.9002,0.2703,2104,0.8956,0.2917,6312,distilbert_autogrid/results/lr_3p0000e-04_r64_a16_ep3_wd_1p0000e-02,ok
0.0003,64,32.0,3,0.01,0.9,0.999,0.9002,0.2986,6312,0.9002,0.2986,6312,distilbert_autogrid/results/lr_3p0000e-04_r64_a32_ep3_wd_1p0000e-02,ok
3e-05,128,128.0,3,0.0,0.9,0.999,0.9002,0.2603,4208,0.8945,0.2665,6312,distilbert_autogrid/results/lr_3p0000e-05_r128_a128_ep3_wd_0p0000e00,ok
3e-05,8,128.0,3,0.01,0.9,0.999,0.9002,0.2642,6312,0.9002,0.2642,6312,distilbert_autogrid/results/lr_3p0000e-05_r8_a128_ep3_wd_1p0000e-02,ok
0.0003,16,8.0,3,0.01,0.9,0.999,0.8991,0.2577,2104,0.8945,0.2681,6312,distilbert_autogrid/results/lr_3p0000e-04_r16_a8_ep3_wd_1p0000e-02,ok
0.0003,32,64.0,3,0.0,0.9,0.999,0.8991,0.2671,4208,0.8968,0.3044,6312,distilbert_autogrid/results/lr_3p0000e-04_r32_a64_ep3_wd_0p0000e00,ok
0.0003,64,16.0,3,0.0,0.9,0.999,0.8991,0.2751,4208,0.8945,0.2798,6312,distilbert_autogrid/results/lr_3p0000e-04_r64_a16_ep3_wd_0p0000e00,ok
0.0003,8,128.0,3,0.0,0.9,0.999,0.8991,0.2659,2104,0.8888,0.3287,6312,distilbert_autogrid/results/lr_3p0000e-04_r8_a128_ep3_wd_0p0000e00,ok
0.0003,8,64.0,3,0.0,0.9,0.999,0.8991,0.2839,4208,0.8899,0.3286,6312,distilbert_autogrid/results/lr_3p0000e-04_r8_a64_ep3_wd_0p0000e00,ok
3e-05,128,64.0,3,0.01,0.9,0.999,0.8991,0.2609,6312,0.8991,0.2609,6312,distilbert_autogrid/results/lr_3p0000e-05_r128_a64_ep3_wd_1p0000e-02,ok
