lr,lora_r,lora_alpha,epochs,weight_decay,adam_beta1,adam_beta2,best_val_acc,best_val_loss,best_iteration,last_val_acc,last_val_loss,last_iteration,metrics_dir,status
0.003,64,16.0,3,0.0,0.9,0.999,0.8956,0.2665,4208,0.8956,0.2739,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r64_a16_ep3_wd_0p0000e00,ok
0.003,64,64.0,3,0.0,0.9,0.999,0.8956,0.2612,4208,0.8911,0.3062,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r64_a64_ep3_wd_0p0000e00,ok
0.0003,64,64.0,3,0.1,0.9,0.999,0.8945,0.2701,4208,0.8945,0.2667,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r64_a64_ep3_wd_1p0000e-01,ok
0.0003,8,64.0,3,0.0,0.9,0.999,0.8945,0.2635,6312,0.8945,0.2635,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r8_a64_ep3_wd_0p0000e00,ok
0.0003,8,64.0,3,0.1,0.9,0.999,0.8945,0.2658,6312,0.8945,0.2658,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r8_a64_ep3_wd_1p0000e-01,ok
0.003,128,64.0,3,0.1,0.9,0.999,0.8933,0.298,6312,0.8933,0.298,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r128_a64_ep3_wd_1p0000e-01,ok
0.003,16,32.0,3,0.01,0.9,0.999,0.8933,0.288,6312,0.8933,0.288,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r16_a32_ep3_wd_1p0000e-02,ok
0.003,32,16.0,3,0.01,0.9,0.999,0.8933,0.2846,4208,0.8933,0.3011,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r32_a16_ep3_wd_1p0000e-02,ok
0.0003,64,64.0,3,0.0,0.9,0.999,0.8933,0.2653,6312,0.8933,0.2653,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r64_a64_ep3_wd_0p0000e00,ok
0.0003,8,128.0,3,0.0,0.9,0.999,0.8933,0.2611,6312,0.8933,0.2611,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r8_a128_ep3_wd_0p0000e00,ok
0.0003,8,32.0,3,0.0,0.9,0.999,0.8922,0.2711,6312,0.8922,0.2711,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r8_a32_ep3_wd_0p0000e00,ok
0.003,64,128.0,3,0.01,0.9,0.999,0.8911,0.2851,4208,0.8876,0.3166,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r64_a128_ep3_wd_1p0000e-02,ok
0.0003,128,64.0,3,0.01,0.9,0.999,0.8911,0.2689,6312,0.8911,0.2689,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r128_a64_ep3_wd_1p0000e-02,ok
0.003,32,128.0,3,0.01,0.9,0.999,0.8899,0.3015,2104,0.8773,0.3262,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r32_a128_ep3_wd_1p0000e-02,ok
0.0003,32,32.0,3,0.01,0.9,0.999,0.8899,0.2752,6312,0.8899,0.2752,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r32_a32_ep3_wd_1p0000e-02,ok
0.0003,32,64.0,3,0.1,0.9,0.999,0.8899,0.2686,4208,0.8865,0.268,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r32_a64_ep3_wd_1p0000e-01,ok
0.003,128,128.0,3,0.0,0.9,0.999,0.8888,0.2879,4208,0.883,0.3288,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r128_a128_ep3_wd_0p0000e00,ok
0.0003,8,64.0,3,0.01,0.9,0.999,0.8888,0.2696,6312,0.8888,0.2696,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r8_a64_ep3_wd_1p0000e-02,ok
0.003,8,128.0,3,0.01,0.9,0.999,0.8876,0.3055,6312,0.8876,0.3055,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r8_a128_ep3_wd_1p0000e-02,ok
0.0003,16,32.0,3,0.0,0.9,0.999,0.8876,0.2748,6312,0.8876,0.2748,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r16_a32_ep3_wd_0p0000e00,ok
0.0003,16,32.0,3,0.01,0.9,0.999,0.8876,0.2744,6312,0.8876,0.2744,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r16_a32_ep3_wd_1p0000e-02,ok
0.0003,32,32.0,3,0.0,0.9,0.999,0.8876,0.2693,6312,0.8876,0.2693,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r32_a32_ep3_wd_0p0000e00,ok
0.0003,64,32.0,3,0.01,0.9,0.999,0.8876,0.2761,6312,0.8876,0.2761,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r64_a32_ep3_wd_1p0000e-02,ok
0.003,32,128.0,3,0.0,0.9,0.999,0.8865,0.2914,2104,0.883,0.3342,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r32_a128_ep3_wd_0p0000e00,ok
0.003,64,128.0,3,0.0,0.9,0.999,0.8865,0.311,4208,0.8842,0.3223,6312,distilbert_autogrid/results_mlora/lr_3p0000e-03_r64_a128_ep3_wd_0p0000e00,ok
0.0003,128,32.0,3,0.1,0.9,0.999,0.8865,0.2726,6312,0.8865,0.2726,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r128_a32_ep3_wd_1p0000e-01,ok
0.0003,64,32.0,3,0.0,0.9,0.999,0.8865,0.2765,6312,0.8865,0.2765,6312,distilbert_autogrid/results_mlora/lr_3p0000e-04_r64_a32_ep3_wd_0p0000e00,ok
