lr,lora_r,lora_alpha,weight_decay,max_steps,eval_every,sft_preset,sft_val_ratio,lora_type,best_eval_perplexity,best_eval_loss,best_iteration,last_eval_perplexity,last_eval_loss,last_iteration,metrics_dir,status
0.002,32,64.0,0.0,500,100,alpaca_train_1k,0.2,default,6.192775,1.823383,100,820.573142,6.710003,500,deepseek_autogrid/results/lr_2p0000e-03_r32_a64_st500_wd_0p0000e00,ok
0.002,64,64.0,0.0,500,100,alpaca_train_1k,0.2,default,6.78922,1.915336,100,420456.051746,12.949095,500,deepseek_autogrid/results/lr_2p0000e-03_r64_a64_st500_wd_0p0000e00,ok
2e-06,64,64.0,0.0,500,100,alpaca_train_1k,0.2,default,10.272162,2.329438,500,10.272995,2.329519,500,deepseek_autogrid/results/lr_2p0000e-06_r64_a64_st500_wd_0p0000e00,ok
2e-06,64,64.0,0.01,500,100,alpaca_train_1k,0.2,default,10.272872,2.329507,500,10.272995,2.329519,500,deepseek_autogrid/results/lr_2p0000e-06_r64_a64_st500_wd_1p0000e-02,ok
2e-06,16,64.0,0.01,500,100,alpaca_train_1k,0.2,default,10.301145,2.332255,500,10.30239,2.332376,500,deepseek_autogrid/results/lr_2p0000e-06_r16_a64_st500_wd_1p0000e-02,ok
2e-06,16,64.0,0.0,500,100,alpaca_train_1k,0.2,default,10.302012,2.332339,500,10.302012,2.332339,500,deepseek_autogrid/results/lr_2p0000e-06_r16_a64_st500_wd_0p0000e00,ok
2e-06,32,64.0,0.01,500,100,alpaca_train_1k,0.2,default,10.321815,2.33426,500,10.322588,2.334334,500,deepseek_autogrid/results/lr_2p0000e-06_r32_a64_st500_wd_1p0000e-02,ok
2e-06,32,64.0,0.0,500,100,alpaca_train_1k,0.2,default,10.322588,2.334334,500,10.322588,2.334334,500,deepseek_autogrid/results/lr_2p0000e-06_r32_a64_st500_wd_0p0000e00,ok
0.002,16,32.0,0.01,500,100,alpaca_train_1k,0.2,default,10.823802,2.381748,200,4532.513023,8.419032,500,deepseek_autogrid/results/lr_2p0000e-03_r16_a32_st500_wd_1p0000e-02,ok
0.002,8,8.0,0.01,1500,100,alpaca_train_1k,0.2,default,10.905259,2.389245,100,9791.554606,9.189276,1500,deepseek_autogrid/results/lr_2p0000e-03_r8_a8_st1500_wd_1p0000e-02,ok
0.002,16,32.0,0.0,500,100,alpaca_train_1k,0.2,default,10.918656,2.390473,100,34783.936437,10.456911,500,deepseek_autogrid/results/lr_2p0000e-03_r16_a32_st500_wd_0p0000e00,ok
2e-06,64,32.0,0.0,500,100,alpaca_train_1k,0.2,default,13.302647,2.587963,500,13.302647,2.587963,500,deepseek_autogrid/results/lr_2p0000e-06_r64_a32_st500_wd_0p0000e00,ok
2e-06,64,32.0,0.01,500,100,alpaca_train_1k,0.2,default,13.302647,2.587963,500,13.302928,2.587984,500,deepseek_autogrid/results/lr_2p0000e-06_r64_a32_st500_wd_1p0000e-02,ok
2e-06,32,32.0,0.01,500,100,alpaca_train_1k,0.2,default,13.344492,2.591104,500,13.344803,2.591127,500,deepseek_autogrid/results/lr_2p0000e-06_r32_a32_st500_wd_1p0000e-02,ok
2e-06,32,32.0,0.0,500,100,alpaca_train_1k,0.2,default,13.344803,2.591127,500,13.344914,2.591135,500,deepseek_autogrid/results/lr_2p0000e-06_r32_a32_st500_wd_0p0000e00,ok
2e-06,16,32.0,0.01,500,100,alpaca_train_1k,0.2,default,13.462221,2.599887,500,13.463497,2.599982,500,deepseek_autogrid/results/lr_2p0000e-06_r16_a32_st500_wd_1p0000e-02,ok
2e-06,16,32.0,0.0,500,100,alpaca_train_1k,0.2,default,13.4632,2.59996,500,13.463497,2.599982,500,deepseek_autogrid/results/lr_2p0000e-06_r16_a32_st500_wd_0p0000e00,ok
2e-06,16,16.0,0.01,500,100,alpaca_train_1k,0.2,default,15.356084,2.731512,500,15.356163,2.731517,500,deepseek_autogrid/results/lr_2p0000e-06_r16_a16_st500_wd_1p0000e-02,ok
2e-06,16,16.0,0.0,500,100,alpaca_train_1k,0.2,default,15.356153,2.731516,500,15.356163,2.731517,500,deepseek_autogrid/results/lr_2p0000e-06_r16_a16_st500_wd_0p0000e00,ok
2e-06,32,16.0,0.0,500,100,alpaca_train_1k,0.2,default,15.374604,2.732717,500,15.374604,2.732717,500,deepseek_autogrid/results/lr_2p0000e-06_r32_a16_st500_wd_0p0000e00,ok
2e-06,32,16.0,0.01,500,100,alpaca_train_1k,0.2,default,15.374604,2.732717,500,15.374604,2.732717,500,deepseek_autogrid/results/lr_2p0000e-06_r32_a16_st500_wd_1p0000e-02,ok
2e-06,64,16.0,0.01,500,100,alpaca_train_1k,0.2,default,15.382649,2.73324,500,15.382711,2.733244,500,deepseek_autogrid/results/lr_2p0000e-06_r64_a16_st500_wd_1p0000e-02,ok
2e-06,64,16.0,0.0,500,100,alpaca_train_1k,0.2,default,15.382711,2.733244,500,15.382711,2.733244,500,deepseek_autogrid/results/lr_2p0000e-06_r64_a16_st500_wd_0p0000e00,ok
2e-07,64,64.0,0.0,500,100,alpaca_train_1k,0.2,default,17.37382,2.854965,500,17.373898,2.854969,500,deepseek_autogrid/results/lr_2p0000e-07_r64_a64_st500_wd_0p0000e00,ok
2e-07,64,64.0,0.01,500,100,alpaca_train_1k,0.2,default,17.373898,2.854969,500,17.373898,2.854969,500,deepseek_autogrid/results/lr_2p0000e-07_r64_a64_st500_wd_1p0000e-02,ok
2e-07,16,64.0,0.0,500,100,alpaca_train_1k,0.2,default,17.375603,2.855067,500,17.375603,2.855067,500,deepseek_autogrid/results/lr_2p0000e-07_r16_a64_st500_wd_0p0000e00,ok
2e-07,16,64.0,0.01,500,100,alpaca_train_1k,0.2,default,17.375603,2.855067,500,17.375603,2.855067,500,deepseek_autogrid/results/lr_2p0000e-07_r16_a64_st500_wd_1p0000e-02,ok
2e-07,32,64.0,0.01,500,100,alpaca_train_1k,0.2,default,17.381374,2.855399,500,17.381396,2.8554,500,deepseek_autogrid/results/lr_2p0000e-07_r32_a64_st500_wd_1p0000e-02,ok
2e-07,32,64.0,0.0,500,100,alpaca_train_1k,0.2,default,17.381396,2.8554,500,17.381456,2.855404,500,deepseek_autogrid/results/lr_2p0000e-07_r32_a64_st500_wd_0p0000e00,ok
2e-07,16,32.0,0.0,500,100,alpaca_train_1k,0.2,default,17.715992,2.874468,500,17.716046,2.874471,500,deepseek_autogrid/results/lr_2p0000e-07_r16_a32_st500_wd_0p0000e00,ok
2e-07,16,32.0,0.01,500,100,alpaca_train_1k,0.2,default,17.716046,2.874471,500,17.716046,2.874471,500,deepseek_autogrid/results/lr_2p0000e-07_r16_a32_st500_wd_1p0000e-02,ok
2e-07,32,32.0,0.0,500,100,alpaca_train_1k,0.2,default,17.716526,2.874498,500,17.716538,2.874499,500,deepseek_autogrid/results/lr_2p0000e-07_r32_a32_st500_wd_0p0000e00,ok
2e-07,32,32.0,0.01,500,100,alpaca_train_1k,0.2,default,17.716526,2.874498,500,17.716526,2.874498,500,deepseek_autogrid/results/lr_2p0000e-07_r32_a32_st500_wd_1p0000e-02,ok
2e-07,64,32.0,0.0,500,100,alpaca_train_1k,0.2,default,17.716632,2.874504,500,17.716632,2.874504,500,deepseek_autogrid/results/lr_2p0000e-07_r64_a32_st500_wd_0p0000e00,ok
2e-07,64,32.0,0.01,500,100,alpaca_train_1k,0.2,default,17.716632,2.874504,500,17.716632,2.874504,500,deepseek_autogrid/results/lr_2p0000e-07_r64_a32_st500_wd_1p0000e-02,ok
2e-07,16,16.0,0.0,500,100,alpaca_train_1k,0.2,default,17.893583,2.884442,500,17.893586,2.884442,500,deepseek_autogrid/results/lr_2p0000e-07_r16_a16_st500_wd_0p0000e00,ok
2e-07,16,16.0,0.01,500,100,alpaca_train_1k,0.2,default,17.893583,2.884442,500,17.893586,2.884442,500,deepseek_autogrid/results/lr_2p0000e-07_r16_a16_st500_wd_1p0000e-02,ok
2e-07,64,16.0,0.0,500,100,alpaca_train_1k,0.2,default,17.896054,2.88458,500,17.896054,2.88458,500,deepseek_autogrid/results/lr_2p0000e-07_r64_a16_st500_wd_0p0000e00,ok
2e-07,64,16.0,0.01,500,100,alpaca_train_1k,0.2,default,17.896054,2.88458,500,17.896054,2.88458,500,deepseek_autogrid/results/lr_2p0000e-07_r64_a16_st500_wd_1p0000e-02,ok
2e-07,32,16.0,0.0,500,100,alpaca_train_1k,0.2,default,17.896064,2.884581,500,17.896064,2.884581,500,deepseek_autogrid/results/lr_2p0000e-07_r32_a16_st500_wd_0p0000e00,ok
2e-07,32,16.0,0.01,500,100,alpaca_train_1k,0.2,default,17.896064,2.884581,500,17.896068,2.884581,500,deepseek_autogrid/results/lr_2p0000e-07_r32_a16_st500_wd_1p0000e-02,ok
0.002,8,16.0,0.0,1500,100,alpaca_train_1k,0.2,default,605.410525,6.405907,300,2013.604757,7.607682,1500,deepseek_autogrid/results/lr_2p0000e-03_r8_a16_st1500_wd_0p0000e00,ok
0.002,16,64.0,0.01,500,100,alpaca_train_1k,0.2,default,643.481876,6.466894,200,1131.76799,7.031536,500,deepseek_autogrid/results/lr_2p0000e-03_r16_a64_st500_wd_1p0000e-02,ok
0.002,16,64.0,0.0,500,100,alpaca_train_1k,0.2,default,910.63846,6.814146,100,106754.895747,11.578291,500,deepseek_autogrid/results/lr_2p0000e-03_r16_a64_st500_wd_0p0000e00,ok
